team_id,team_name,loss_proportion,create_proportion,direct_proportion
39,Aston Villa,0.12043435340572557,0.8069584736251403,0.14927048260381592
752,Ipswich Town,0.11932418162618796,0.7685851318944844,0.19424460431654678
44,Tottenham Hotspur,0.11623779946761313,0.8493975903614458,0.11546184738955824
747,Nottingham Forest,0.1111111111111111,0.693359375,0.265625
31,Manchester United,0.10604732690622261,0.7568627450980392,0.2196078431372549
754,Brentford FC,0.10582959641255606,0.8094282848545636,0.16449348044132397
62,Leicester City,0.1038961038961039,0.7714604236343366,0.2028985507246377
58,Southampton,0.10319634703196347,0.8075356415478615,0.17617107942973523
52,Wolverhampton Wanderers,0.10067114093959731,0.7377398720682303,0.23987206823027718
308,Brighton and Hove Albion,0.09941520467836257,0.8170995670995671,0.15584415584415584
37,West Ham United,0.09497206703910614,0.7129629629629629,0.2623456790123457
32,Newcastle United,0.09051724137931035,0.8329383886255924,0.12796208530805686
60,Crystal Palace,0.08847497089639116,0.7177522349936143,0.24904214559386972
3,Arsenal Football Club,0.07881136950904392,0.7854137447405329,0.18653576437587657
40,Manchester City,0.07868852459016394,0.8315539739027283,0.12811387900355872
49,Chelsea,0.07678075855689177,0.8076152304609219,0.16733466933867736
63,Bournemouth,0.07427785419532325,0.7399702823179792,0.23328380386329867
41,Everton,0.07376058041112454,0.7180156657963447,0.26240208877284593
48,Fulham,0.061243144424131625,0.7273612463485881,0.22395326192794549
2,Liverpool Football Club,0.05993690851735016,0.772930648769575,0.19463087248322147
